period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,0.5,1.0,0.1,0.01,3,40,high,poc,0.0240450973456236,1,2,0,3,1.9904509734562361
15m,500,0.5,0.5,0.1,0.01,3,40,high,poc,0.0240450973456236,1,2,0,3,1.9904509734562361
15m,500,2.0,1.0,0.1,0.005,6,40,low,wa,0.0445684099313259,1,1,0,2,1.945684099313259
15m,500,2.0,1.0,0.1,0.005,6,30,low,wa,0.0445684099313259,1,1,0,2,1.945684099313259
15m,500,2.0,0.5,0.1,0.005,6,40,low,wa,0.0445684099313259,1,1,0,2,1.945684099313259
15m,500,2.0,0.5,0.1,0.005,6,30,low,wa,0.0445684099313259,1,1,0,2,1.945684099313259
15m,500,1.0,1.0,0.1,0.005,6,30,low,wa,0.0222842049656629,1,1,0,2,1.722842049656629
15m,500,1.0,0.5,0.1,0.005,6,30,low,wa,0.0222842049656629,1,1,0,2,1.722842049656629
15m,500,1.0,0.5,0.1,0.005,6,40,low,wa,0.0222842049656628,1,1,0,2,1.7228420496566281
15m,500,1.0,1.0,0.1,0.005,6,40,low,wa,0.0222842049656628,1,1,0,2,1.7228420496566281
15m,500,2.0,1.0,0.1,0.01,6,30,low,poc,0.0197643275547996,2,1,1,4,1.697643275547996
15m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.0111421024828315,1,1,0,2,1.611421024828315
15m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.0111421024828315,1,1,0,2,1.611421024828315
15m,500,0.5,0.5,0.1,0.005,6,40,low,wa,0.0111421024828315,1,1,0,2,1.611421024828315
15m,500,0.5,0.5,0.1,0.005,6,30,low,wa,0.0111421024828315,1,1,0,2,1.611421024828315
15m,500,2.0,0.25,0.1,0.005,4,30,low,wa,0.0278625595626282,1,1,1,3,1.528625595626282
15m,500,2.0,0.25,0.1,0.005,4,40,low,wa,0.0278625595626281,1,1,1,3,1.528625595626281
15m,500,1.0,1.0,0.1,0.01,6,30,low,poc,-0.0025198774108635,2,1,1,4,1.474801225891365
15m,500,2.0,0.5,0.1,0.005,4,30,low,wa,0.0216615389684965,1,1,1,3,1.466615389684965
15m,500,2.0,0.5,0.1,0.005,4,40,low,wa,0.0216615389684965,1,1,1,3,1.466615389684965
15m,500,1.0,0.25,0.1,0.01,6,40,low,poc,0.0108800780393926,1,1,2,4,1.4421341137272592
15m,500,2.0,1.0,0.1,0.01,3,40,high,poc,0.0173032354080648,1,1,1,3,1.423032354080648
15m,500,0.5,0.5,0.1,0.01,3,40,low,poc,0.0124020411882629,0,1,0,1,1.3740204118826291
15m,500,0.5,1.0,0.1,0.01,3,40,low,poc,0.0124020411882629,0,1,0,1,1.3740204118826291
15m,500,0.5,0.25,0.1,0.01,3,40,low,poc,0.0124020411882629,0,1,0,1,1.3740204118826291
15m,500,0.5,1.0,0.1,0.01,6,30,low,poc,-0.0136619798936948,2,1,1,4,1.363380201063052
5m,500,0.5,0.5,0.1,0.01,5,40,low,poc,0.0109931009440813,0,1,0,1,1.359931009440813
5m,500,0.5,0.5,0.1,0.01,5,30,low,poc,0.0109931009440813,0,1,0,1,1.359931009440813
5m,500,0.5,1.0,0.1,0.01,5,30,low,poc,0.0109931009440813,0,1,0,1,1.359931009440813
5m,500,0.5,0.5,0.1,0.01,6,30,low,poc,0.0109931009440813,0,1,0,1,1.359931009440813
