period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose
15m,500,2.0,1.0,0.1,0.005,2,40,high,poc,0.051296720061022184,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,40,high,wa,-0.02564836003051101,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,30,high,poc,0.05129672006102214,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,30,high,wa,-0.025648360030511155,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,40,high,poc,0.051296720061022184,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,40,high,wa,-0.012824180015255504,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,30,high,poc,0.05129672006102214,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,30,high,wa,-0.012824180015255577,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,40,high,poc,0.051296720061022184,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,40,high,wa,-0.006412090007627752,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,30,high,poc,0.05129672006102214,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,30,high,wa,-0.006412090007627789,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,40,high,poc,0.025648360030511016,0,1,0
15m,500,1.0,1.0,0.1,0.005,2,40,high,wa,-0.02564836003051101,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,30,high,poc,0.02564836003051115,0,1,0
15m,500,1.0,1.0,0.1,0.005,2,30,high,wa,-0.025648360030511155,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,40,high,poc,0.025648360030511016,0,1,0
15m,500,1.0,0.5,0.1,0.005,2,40,high,wa,-0.012824180015255504,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,30,high,poc,0.02564836003051115,0,1,0
15m,500,1.0,0.5,0.1,0.005,2,30,high,wa,-0.012824180015255577,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,40,high,poc,0.025648360030511016,0,1,0
15m,500,1.0,0.25,0.1,0.005,2,40,high,wa,-0.006412090007627752,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,30,high,poc,0.02564836003051115,0,1,0
15m,500,1.0,0.25,0.1,0.005,2,30,high,wa,-0.006412090007627789,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,40,high,poc,0.012824180015255508,0,1,0
15m,500,0.5,1.0,0.1,0.005,2,40,high,wa,-0.02564836003051101,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,30,high,poc,0.012824180015255496,0,1,0
15m,500,0.5,1.0,0.1,0.005,2,30,high,wa,-0.025648360030511155,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,40,high,poc,0.012824180015255508,0,1,0
15m,500,0.5,0.5,0.1,0.005,2,40,high,wa,-0.012824180015255504,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,30,high,poc,0.012824180015255496,0,1,0
15m,500,0.5,0.5,0.1,0.005,2,30,high,wa,-0.012824180015255577,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,40,high,poc,0.012824180015255508,0,1,0
15m,500,0.5,0.25,0.1,0.005,2,40,high,wa,-0.006412090007627752,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,30,high,poc,0.012824180015255496,0,1,0
15m,500,0.5,0.25,0.1,0.005,2,30,high,wa,-0.006412090007627789,0,0,1
15m,500,2.0,1.0,0.1,0.01,2,40,high,poc,0.05129672006102212,0,1,0
15m,500,2.0,1.0,0.1,0.01,2,40,high,wa,-0.025648360030511002,0,0,1
15m,500,2.0,1.0,0.1,0.01,2,30,high,poc,0.051296720061022205,0,1,0
15m,500,2.0,1.0,0.1,0.01,2,30,high,wa,-0.025648360030511144,0,0,1
15m,500,2.0,0.5,0.1,0.01,2,40,high,poc,0.05129672006102212,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,40,high,wa,-0.012824180015255501,0,0,1
15m,500,2.0,0.5,0.1,0.01,2,30,high,poc,0.051296720061022205,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,30,high,wa,-0.01282418001525549,0,0,1
15m,500,2.0,0.25,0.1,0.01,2,40,high,poc,0.05129672006102212,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,40,high,wa,-0.006412090007627831,0,0,1
15m,500,2.0,0.25,0.1,0.01,2,30,high,poc,0.051296720061022205,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,30,high,wa,-0.006412090007627745,0,0,1
15m,500,1.0,1.0,0.1,0.01,2,40,high,poc,0.025648360030511137,0,1,0
15m,500,1.0,1.0,0.1,0.01,2,40,high,wa,-0.025648360030511002,0,0,1
15m,500,1.0,1.0,0.1,0.01,2,30,high,poc,0.025648360030511103,0,1,0
15m,500,1.0,1.0,0.1,0.01,2,30,high,wa,-0.025648360030511144,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,40,high,poc,0.025648360030511137,0,1,0
15m,500,1.0,0.5,0.1,0.01,2,40,high,wa,-0.012824180015255501,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,30,high,poc,0.025648360030511103,0,1,0
15m,500,1.0,0.5,0.1,0.01,2,30,high,wa,-0.01282418001525549,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,40,high,poc,0.025648360030511137,0,1,0
15m,500,1.0,0.25,0.1,0.01,2,40,high,wa,-0.006412090007627831,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,30,high,poc,0.025648360030511103,0,1,0
15m,500,1.0,0.25,0.1,0.01,2,30,high,wa,-0.006412090007627745,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,40,high,poc,0.012824180015255569,0,1,0
15m,500,0.5,1.0,0.1,0.01,2,40,high,wa,-0.025648360030511002,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,30,high,poc,0.012824180015255551,0,1,0
15m,500,0.5,1.0,0.1,0.01,2,30,high,wa,-0.025648360030511144,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,40,high,poc,0.012824180015255569,0,1,0
15m,500,0.5,0.5,0.1,0.01,2,40,high,wa,-0.012824180015255501,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,30,high,poc,0.012824180015255551,0,1,0
15m,500,0.5,0.5,0.1,0.01,2,30,high,wa,-0.01282418001525549,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,40,high,poc,0.012824180015255569,0,1,0
15m,500,0.5,0.25,0.1,0.01,2,40,high,wa,-0.006412090007627831,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,30,high,poc,0.012824180015255551,0,1,0
15m,500,0.5,0.25,0.1,0.01,2,30,high,wa,-0.006412090007627745,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,40,low,poc,0.05129672006102212,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,40,low,wa,-0.025648360030511054,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,30,low,poc,0.0512967200610222,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,30,low,wa,-0.025648360030511054,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,40,low,poc,0.05129672006102212,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,40,low,wa,-0.012824180015255609,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,30,low,poc,0.0512967200610222,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,30,low,wa,-0.012824180015255527,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,40,low,poc,0.05129672006102212,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,40,low,wa,-0.006412090007627724,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,30,low,poc,0.0512967200610222,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,30,low,wa,-0.0064120900076277635,0,0,1
