period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose
15m,500,2.0,1.0,0.1,0.005,2,40,high,poc,0.031428052984939114,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,40,high,wa,0.031428052984939156,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,30,high,poc,0.03142805298493912,0,1,0
15m,500,2.0,1.0,0.1,0.005,2,30,high,wa,0.0314280529849391,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,40,high,poc,0.031428052984939114,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,40,high,wa,0.031428052984939156,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,30,high,poc,0.03142805298493912,0,1,0
15m,500,2.0,0.5,0.1,0.005,2,30,high,wa,0.0314280529849391,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,40,high,poc,0.031428052984939114,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,40,high,wa,0.031428052984939156,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,30,high,poc,0.03142805298493912,0,1,0
15m,500,2.0,0.25,0.1,0.005,2,30,high,wa,0.0314280529849391,0,1,0
15m,500,1.0,1.0,0.1,0.005,2,40,high,poc,-0.015714026492469495,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,40,high,wa,-0.015714026492469578,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,30,high,poc,-0.01571402649246956,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,30,high,wa,-0.015714026492469613,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,40,high,poc,-0.007857013246234747,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,40,high,wa,-0.007857013246234789,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,30,high,poc,-0.00785701324623478,0,0,1
15m,500,1.0,0.5,0.1,0.005,2,30,high,wa,-0.007857013246234744,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,40,high,poc,-0.003928506623117374,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,40,high,wa,-0.003928506623117333,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,30,high,poc,-0.00392850662311739,0,0,1
15m,500,1.0,0.25,0.1,0.005,2,30,high,wa,-0.0039285066231174335,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,40,high,poc,-0.015714026492469495,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,40,high,wa,-0.015714026492469578,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,30,high,poc,-0.01571402649246956,0,0,1
15m,500,0.5,1.0,0.1,0.005,2,30,high,wa,-0.015714026492469613,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,40,high,poc,-0.007857013246234747,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,40,high,wa,-0.007857013246234789,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,30,high,poc,-0.00785701324623478,0,0,1
15m,500,0.5,0.5,0.1,0.005,2,30,high,wa,-0.007857013246234744,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,40,high,poc,-0.003928506623117374,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,40,high,wa,-0.003928506623117333,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,30,high,poc,-0.00392850662311739,0,0,1
15m,500,0.5,0.25,0.1,0.005,2,30,high,wa,-0.0039285066231174335,0,0,1
15m,500,2.0,1.0,0.1,0.01,2,40,high,poc,0.031428052984939156,0,1,0
15m,500,2.0,1.0,0.1,0.01,2,40,high,wa,0.03142805298493918,0,1,0
15m,500,2.0,1.0,0.1,0.01,2,30,high,poc,0.03142805298493913,0,1,0
15m,500,2.0,1.0,0.1,0.01,2,30,high,wa,0.031428052984939114,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,40,high,poc,0.031428052984939156,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,40,high,wa,0.03142805298493918,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,30,high,poc,0.03142805298493913,0,1,0
15m,500,2.0,0.5,0.1,0.01,2,30,high,wa,0.031428052984939114,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,40,high,poc,0.031428052984939156,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,40,high,wa,0.03142805298493918,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,30,high,poc,0.03142805298493913,0,1,0
15m,500,2.0,0.25,0.1,0.01,2,30,high,wa,0.031428052984939114,0,1,0
15m,500,1.0,1.0,0.1,0.01,2,40,high,poc,-0.015714026492469578,0,0,1
15m,500,1.0,1.0,0.1,0.01,2,40,high,wa,-0.015714026492469526,0,0,1
15m,500,1.0,1.0,0.1,0.01,2,30,high,poc,-0.015714026492469564,0,0,1
15m,500,1.0,1.0,0.1,0.01,2,30,high,wa,-0.015714026492469495,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,40,high,poc,-0.007857013246234789,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,40,high,wa,-0.007857013246234763,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,30,high,poc,-0.007857013246234721,0,0,1
15m,500,1.0,0.5,0.1,0.01,2,30,high,wa,-0.00785701324623481,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,40,high,poc,-0.003928506623117332,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,40,high,wa,-0.003928506623117443,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,30,high,poc,-0.003928506623117361,0,0,1
15m,500,1.0,0.25,0.1,0.01,2,30,high,wa,-0.003928506623117405,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,40,high,poc,-0.015714026492469578,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,40,high,wa,-0.015714026492469526,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,30,high,poc,-0.015714026492469564,0,0,1
15m,500,0.5,1.0,0.1,0.01,2,30,high,wa,-0.015714026492469495,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,40,high,poc,-0.007857013246234789,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,40,high,wa,-0.007857013246234763,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,30,high,poc,-0.007857013246234721,0,0,1
15m,500,0.5,0.5,0.1,0.01,2,30,high,wa,-0.00785701324623481,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,40,high,poc,-0.003928506623117332,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,40,high,wa,-0.003928506623117443,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,30,high,poc,-0.003928506623117361,0,0,1
15m,500,0.5,0.25,0.1,0.01,2,30,high,wa,-0.003928506623117405,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,40,low,poc,-0.015697990222705023,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,40,low,wa,-0.015697990222704978,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,30,low,poc,-0.015697990222705058,0,0,1
15m,500,2.0,1.0,0.1,0.005,2,30,low,wa,-0.015697990222705033,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,40,low,poc,-0.007848995111352453,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,40,low,wa,-0.00784899511135255,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,30,low,poc,-0.007848995111352529,0,0,1
15m,500,2.0,0.5,0.1,0.005,2,30,low,wa,-0.007848995111352517,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,40,low,poc,-0.003924497555676226,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,40,low,wa,-0.003924497555676275,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,30,low,poc,-0.003924497555676264,0,0,1
15m,500,2.0,0.25,0.1,0.005,2,30,low,wa,-0.003924497555676258,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,40,low,poc,-0.015697990222705023,0,0,1
15m,500,1.0,1.0,0.1,0.005,2,40,low,wa,-0.015697990222704978,0,0,1
