period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,1.0,1.0,0.1,0.005,6,40,high,poc,0.0963859801424264,1,5,0,6,2.963859801424264
15m,500,1.0,1.0,0.1,0.005,6,30,high,poc,0.0963859801424264,1,5,0,6,2.963859801424264
15m,500,1.0,0.5,0.1,0.005,3,40,high,poc,0.0795762749552802,1,4,0,5,2.6290960828861354
15m,500,1.0,1.0,0.1,0.005,3,40,high,poc,0.0795762749552802,1,4,0,5,2.6290960828861354
15m,500,1.0,1.0,0.1,0.005,3,30,high,poc,0.0795762749552802,1,4,0,5,2.6290960828861354
15m,500,1.0,1.0,0.1,0.005,6,30,low,wa,0.0583843688150188,2,4,0,6,2.5838436881501883
15m,500,1.0,1.0,0.1,0.005,6,40,low,wa,0.0583843688150187,2,4,0,6,2.583843688150187
15m,500,1.0,0.25,0.1,0.005,6,30,high,poc,0.0752497201608242,1,4,1,6,2.552497201608242
15m,500,1.0,0.5,0.1,0.005,6,40,high,poc,0.0710224681645037,1,4,1,6,2.5102246816450373
15m,500,1.0,0.5,0.1,0.005,6,30,high,poc,0.0710224681645037,1,4,1,6,2.5102246816450373
15m,500,0.5,1.0,0.1,0.005,6,30,low,poc,0.0490488395861696,1,5,0,6,2.490488395861696
15m,500,1.0,1.0,0.1,0.005,6,30,low,poc,0.0685288304965638,1,4,1,6,2.4852883049656382
15m,500,1.0,1.0,0.1,0.005,6,40,low,poc,0.0685288304965635,1,4,1,6,2.4852883049656347
15m,500,0.5,1.0,0.1,0.005,6,40,high,poc,0.0481929900712134,1,5,0,6,2.4819299007121343
15m,500,0.5,1.0,0.1,0.005,6,30,high,poc,0.0481929900712133,1,5,0,6,2.481929900712133
15m,500,0.5,0.25,0.1,0.005,6,30,high,poc,0.0481929900712133,1,5,0,6,2.481929900712133
15m,500,0.5,0.5,0.1,0.005,6,30,high,poc,0.0481929900712133,1,5,0,6,2.481929900712133
15m,500,2.0,0.25,0.1,0.01,3,40,low,poc,0.1105925731802829,1,2,1,4,2.439259065136162
15m,500,2.0,0.5,0.1,0.01,3,40,low,poc,0.1069152486538984,1,2,1,4,2.402485819872317
15m,500,1.0,0.25,0.1,0.01,3,40,low,poc,0.0718442469588719,1,3,0,4,2.3851091362553856
15m,500,1.0,0.5,0.1,0.01,3,40,low,poc,0.0718442469588719,1,3,0,4,2.3851091362553856
15m,500,1.0,1.0,0.1,0.01,3,40,low,poc,0.0718442469588719,1,3,0,4,2.3851091362553856
15m,500,1.0,0.5,0.1,0.01,6,30,high,wa,0.0497445858818891,2,3,0,5,2.3307791921522245
15m,500,2.0,1.0,0.1,0.01,3,40,low,poc,0.0995605996011293,1,2,1,4,2.3289393293446263
15m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.0291921844075093,2,4,0,6,2.291921844075093
15m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.0291921844075093,2,4,0,6,2.291921844075093
15m,500,0.5,0.5,0.1,0.005,6,40,low,wa,0.0291921844075093,2,4,0,6,2.291921844075093
15m,500,0.5,0.5,0.1,0.005,6,30,low,wa,0.0291921844075093,2,4,0,6,2.291921844075093
15m,500,1.0,1.0,0.1,0.01,4,30,low,poc,0.0624129395112318,1,3,0,4,2.290796061778985
15m,500,1.0,1.0,0.1,0.01,4,40,low,poc,0.0624129395112318,1,3,0,4,2.290796061778985
15m,500,2.0,1.0,0.1,0.01,3,30,high,poc,0.0926143178087168,0,2,0,2,2.2594765114205013
15m,500,2.0,1.0,0.1,0.01,4,30,high,poc,0.0926143178087168,0,2,0,2,2.2594765114205013
15m,500,2.0,1.0,0.1,0.01,3,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,1.0,0.1,0.01,4,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,0.5,0.1,0.01,4,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,0.25,0.1,0.01,4,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,0.5,0.1,0.01,3,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,0.25,0.1,0.01,3,40,high,poc,0.0926143178087165,0,2,0,2,2.259476511420498
15m,500,2.0,0.25,0.1,0.005,6,30,high,poc,0.0835534699979124,1,2,3,6,2.235534699979124
15m,500,2.0,0.25,0.1,0.005,6,30,low,poc,0.0831255452404341,1,2,3,6,2.231255452404341
15m,500,0.5,1.0,0.1,0.005,3,30,high,poc,0.0397881374776403,1,4,0,5,2.231214708109736
15m,500,0.5,1.0,0.1,0.005,3,40,high,poc,0.0397881374776402,1,4,0,5,2.2312147081097358
15m,500,2.0,0.25,0.1,0.005,3,40,high,poc,0.0842970387959861,1,2,2,5,2.1763037212931944
15m,500,1.0,1.0,0.1,0.01,6,30,low,poc,0.066118597678607,0,3,0,3,2.16118597678607
15m,500,1.0,1.0,0.1,0.01,6,40,low,poc,0.0661185976786069,0,3,0,3,2.161185976786069
15m,500,1.0,0.25,0.1,0.005,3,40,high,poc,0.0563765025235506,1,3,1,5,2.1470983585688392
15m,500,2.0,1.0,0.1,0.01,4,40,low,poc,0.0806979847058493,1,2,1,4,2.1403131803918263
15m,500,2.0,1.0,0.1,0.01,4,30,low,poc,0.0806979847058492,1,2,1,4,2.1403131803918254
15m,500,1.0,0.5,0.1,0.005,3,30,high,poc,0.0547396736480905,1,3,1,5,2.130730069814238
15m,500,0.5,1.0,0.1,0.005,3,40,low,poc,0.0455053221442688,0,4,0,4,2.121719888109354
15m,500,0.5,1.0,0.1,0.005,3,30,low,poc,0.0455053221442686,0,4,0,4,2.121719888109353
15m,500,1.0,0.25,0.1,0.01,3,30,low,poc,0.0454571613534013,2,2,0,4,2.1212382802006795
15m,500,1.0,0.5,0.1,0.01,3,30,low,poc,0.0454571613534013,2,2,0,4,2.1212382802006795
15m,500,1.0,1.0,0.1,0.01,3,30,low,poc,0.0454571613534013,2,2,0,4,2.1212382802006795
15m,500,1.0,0.25,0.1,0.005,6,40,high,poc,0.0520499477290946,1,3,2,6,2.120499477290946
15m,500,2.0,0.5,0.1,0.005,6,30,high,poc,0.0714180821882521,1,2,3,6,2.114180821882521
15m,500,0.5,0.5,0.1,0.005,6,40,high,poc,0.0312839820859315,1,4,1,6,2.112839820859315
15m,500,2.0,0.5,0.1,0.005,6,30,low,poc,0.0705622326732957,1,2,3,6,2.105622326732957
15m,500,1.0,0.5,0.1,0.005,6,30,low,poc,0.0505575306875849,1,3,2,6,2.105575306875849
15m,500,1.0,0.5,0.1,0.005,6,40,low,poc,0.0505575306875846,1,3,2,6,2.105575306875846
15m,500,1.0,1.0,0.1,0.01,6,40,high,poc,0.0518428377273832,1,3,1,5,2.1017617106071653
15m,500,1.0,1.0,0.1,0.01,6,30,high,poc,0.0518428377273829,1,3,1,5,2.101761710607162
15m,500,2.0,0.5,0.1,0.005,3,40,high,poc,0.0759797597832557,1,2,2,5,2.0931309311658906
15m,500,0.5,0.5,0.1,0.01,6,40,high,wa,0.0248722929409446,2,3,0,5,2.082056262742779
15m,500,0.5,1.0,0.1,0.01,6,30,high,wa,0.0248722929409446,2,3,0,5,2.082056262742779
15m,500,0.5,0.5,0.1,0.01,6,30,high,wa,0.0248722929409446,2,3,0,5,2.082056262742779
15m,500,0.5,1.0,0.1,0.01,6,40,high,wa,0.0248722929409446,2,3,0,5,2.082056262742779
15m,500,1.0,0.5,0.1,0.005,6,30,low,wa,0.0330208568370961,2,3,1,6,2.080208568370961
15m,500,1.0,0.5,0.1,0.005,6,40,low,wa,0.033020856837096,2,3,1,6,2.08020856837096
15m,500,0.5,1.0,0.1,0.005,6,40,low,poc,0.026872203079338,1,4,1,6,2.06872203079338
15m,500,0.5,1.0,0.1,0.01,3,40,low,poc,0.0359221234794359,1,3,0,4,2.025887901461026
15m,500,1.0,1.0,0.1,0.005,3,40,low,wa,0.0332691160509217,2,2,0,4,1.999357827175884
15m,500,1.0,1.0,0.1,0.005,3,30,low,wa,0.0332691160509217,2,2,0,4,1.999357827175884
15m,500,1.0,0.5,0.1,0.005,3,40,low,wa,0.0332691160509217,2,2,0,4,1.999357827175884
