period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,2.0,0.25,0.1,0.01,2,30,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,1.0,0.1,0.01,2,40,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,1.0,0.1,0.01,2,30,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,0.5,0.1,0.01,2,30,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,0.5,0.1,0.01,2,40,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,0.25,0.1,0.01,2,40,low,wa,0.1703729141322567,0,2,0,2,3.703729141322567
15m,500,2.0,0.25,0.1,0.005,6,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,0.5,0.1,0.005,6,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,0.25,0.1,0.005,5,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,0.5,0.1,0.005,5,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,1.0,0.1,0.005,5,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,1.0,0.1,0.005,6,30,avgHL,wa,0.1542543503898272,0,2,0,2,3.542543503898272
15m,500,2.0,0.5,0.1,0.005,5,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,0.25,0.1,0.005,5,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,1.0,0.1,0.005,5,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,0.25,0.1,0.005,6,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,1.0,0.1,0.005,6,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,0.5,0.1,0.005,6,40,avgHL,wa,0.1542543503898271,0,2,0,2,3.542543503898271
15m,500,2.0,1.0,0.1,0.01,5,40,high,poc,0.1327636963587771,0,2,0,2,3.327636963587771
15m,500,2.0,1.0,0.1,0.01,2,40,high,wa,0.1305489887050171,1,1,0,2,3.3054898870501708
15m,500,2.0,0.5,0.1,0.01,2,40,high,wa,0.1305489887050171,1,1,0,2,3.3054898870501708
15m,500,2.0,1.0,0.1,0.01,2,30,high,wa,0.130548988705017,1,1,0,2,3.30548988705017
15m,500,2.0,0.5,0.1,0.01,2,30,high,wa,0.130548988705017,1,1,0,2,3.30548988705017
15m,500,2.0,1.0,0.1,0.005,6,40,low,poc,0.1280006460667884,0,2,0,2,3.280006460667884
15m,500,2.0,0.5,0.1,0.005,6,40,low,poc,0.1280006460667884,0,2,0,2,3.280006460667884
15m,500,2.0,1.0,0.1,0.005,6,30,low,poc,0.1280006460667883,0,2,0,2,3.2800064606678827
15m,500,2.0,0.5,0.1,0.005,6,30,low,poc,0.1280006460667883,0,2,0,2,3.2800064606678827
15m,500,2.0,0.25,0.1,0.005,6,30,low,poc,0.1280006460667883,0,2,0,2,3.2800064606678827
