period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,1.0,1.0,0.1,0.005,6,40,high,wa,0.0467963934298009,1,3,0,4,2.467963934298009
15m,500,1.0,0.5,0.1,0.005,6,40,high,wa,0.0467963934298009,1,3,0,4,2.467963934298009
15m,500,1.0,1.0,0.1,0.005,6,30,high,wa,0.0467963934298007,1,3,0,4,2.467963934298007
15m,500,1.0,0.5,0.1,0.005,6,30,high,wa,0.0467963934298007,1,3,0,4,2.467963934298007
15m,500,2.0,0.5,0.1,0.005,6,30,high,wa,0.0620134956845488,1,2,1,4,2.2868016235121544
15m,500,2.0,0.5,0.1,0.005,6,40,high,wa,0.0620134956845486,1,2,1,4,2.2868016235121527
15m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.02827837854467,1,3,0,4,2.2827837854467
15m,500,0.5,1.0,0.1,0.005,5,40,low,wa,0.02827837854467,1,3,0,4,2.2827837854467
15m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.0282783785446697,1,3,0,4,2.2827837854466972
15m,500,0.5,1.0,0.1,0.005,5,30,low,wa,0.0282783785446696,1,3,0,4,2.282783785446696
15m,500,0.5,0.5,0.1,0.005,6,30,high,wa,0.0233981967149001,1,3,0,4,2.233981967149001
15m,500,0.5,1.0,0.1,0.005,6,30,high,wa,0.0233981967149001,1,3,0,4,2.233981967149001
15m,500,0.5,0.5,0.1,0.005,6,40,high,wa,0.0233981967149,1,3,0,4,2.233981967149
15m,500,0.5,1.0,0.1,0.005,6,40,high,wa,0.0233981967149,1,3,0,4,2.233981967149
15m,500,2.0,1.0,0.1,0.005,6,30,high,wa,0.0556976374495382,1,2,1,4,2.2236430411620485
15m,500,2.0,1.0,0.1,0.005,6,40,high,wa,0.0556976374495379,1,2,1,4,2.223643041162046
15m,500,0.5,1.0,0.1,0.005,4,30,low,wa,0.0180807682912575,1,2,0,3,1.930807682912575
15m,500,0.5,1.0,0.1,0.005,4,40,low,wa,0.0180807682912575,1,2,0,3,1.930807682912575
15m,500,0.5,1.0,0.1,0.005,5,40,low,poc,0.0152678653597176,0,3,1,4,1.902678653597176
15m,500,0.5,1.0,0.1,0.005,6,40,low,poc,0.0152678653597176,0,3,1,4,1.902678653597176
15m,500,0.5,1.0,0.1,0.005,6,30,low,poc,0.0152678653597175,0,3,1,4,1.902678653597175
15m,500,0.5,1.0,0.1,0.005,5,30,low,poc,0.0152678653597175,0,3,1,4,1.902678653597175
15m,500,1.0,0.25,0.1,0.005,5,30,high,wa,0.0228448296605075,1,2,1,4,1.8951149632717414
15m,500,1.0,0.25,0.1,0.005,6,30,high,wa,0.0228448296605074,1,2,1,4,1.8951149632717406
15m,500,0.5,0.25,0.1,0.005,6,40,low,wa,0.0184305563200181,1,2,1,4,1.8509722298668474
15m,500,1.0,0.5,0.1,0.005,5,40,high,wa,0.0180545169066489,1,2,1,4,1.8472118357331557
15m,500,1.0,0.5,0.1,0.005,5,30,high,wa,0.0180545169066487,1,2,1,4,1.8472118357331535
15m,500,0.5,0.5,0.1,0.005,6,40,low,wa,0.0151479489118007,1,2,1,4,1.8181461557846736
15m,500,2.0,1.0,0.1,0.005,5,40,low,poc,0.0313694294885402,0,2,2,4,1.813694294885402
15m,500,2.0,1.0,0.1,0.005,6,30,low,poc,0.0313694294885401,0,2,2,4,1.813694294885401
15m,500,2.0,1.0,0.1,0.005,5,30,low,poc,0.0313694294885401,0,2,2,4,1.813694294885401
15m,500,2.0,1.0,0.1,0.005,6,40,low,poc,0.03136942948854,0,2,2,4,1.8136942948854
15m,500,1.0,1.0,0.1,0.005,4,40,high,wa,0.0276351424143662,0,2,0,2,1.776351424143662
15m,500,1.0,0.5,0.1,0.005,4,40,high,wa,0.0276351424143662,0,2,0,2,1.776351424143662
15m,500,1.0,0.25,0.1,0.005,4,30,high,wa,0.0276351424143661,0,2,0,2,1.776351424143661
15m,500,1.0,1.0,0.1,0.005,4,30,high,wa,0.0276351424143661,0,2,0,2,1.776351424143661
15m,500,1.0,0.5,0.1,0.005,4,30,high,wa,0.0276351424143661,0,2,0,2,1.776351424143661
15m,500,0.5,0.25,0.1,0.005,5,30,high,wa,0.0090272584533242,1,2,1,4,1.7569392511999085
15m,500,0.5,0.25,0.1,0.005,6,30,high,wa,0.0090272584533242,1,2,1,4,1.7569392511999085
15m,500,1.0,1.0,0.1,0.005,5,30,high,wa,0.0084738913989315,1,2,1,4,1.7514055806559816
15m,500,1.0,1.0,0.1,0.005,5,40,high,wa,0.0084738913989315,1,2,1,4,1.7514055806559816
15m,500,0.5,0.5,0.1,0.005,5,40,high,wa,0.0042369456994655,1,2,1,4,1.7090361236613214
15m,500,0.5,0.5,0.1,0.005,5,30,high,wa,0.0042369456994654,1,2,1,4,1.7090361236613205
15m,500,0.5,0.25,0.1,0.005,5,30,low,poc,0.0150879906878422,0,2,2,4,1.650879906878422
15m,500,0.5,0.25,0.1,0.005,6,30,low,poc,0.0150879906878422,0,2,2,4,1.650879906878422
15m,500,2.0,0.25,0.1,0.005,6,40,low,wa,0.0317500568680206,1,1,2,4,1.6508339020135392
15m,500,1.0,1.0,0.1,0.005,4,30,low,poc,0.02327093984548,0,2,1,3,1.6493760651214666
15m,500,0.5,0.25,0.1,0.005,4,30,high,wa,0.0138175712071828,0,2,0,2,1.638175712071828
15m,500,0.5,1.0,0.1,0.005,4,40,high,wa,0.0138175712071828,0,2,0,2,1.638175712071828
15m,500,0.5,0.5,0.1,0.005,4,40,high,wa,0.0138175712071828,0,2,0,2,1.638175712071828
15m,500,0.5,0.5,0.1,0.005,4,30,high,wa,0.0138175712071828,0,2,0,2,1.638175712071828
15m,500,0.5,1.0,0.1,0.005,4,30,high,wa,0.0138175712071828,0,2,0,2,1.638175712071828
15m,500,0.5,1.0,0.1,0.005,5,30,high,wa,-0.0053436798082517,1,2,1,4,1.6132298685841495
15m,500,0.5,1.0,0.1,0.005,5,40,high,wa,-0.0053436798082518,1,2,1,4,1.6132298685841486
15m,500,0.5,0.5,0.1,0.005,6,40,low,poc,0.0084628176474494,0,2,2,4,1.584628176474494
15m,500,0.5,0.5,0.1,0.005,5,40,low,poc,0.0084628176474494,0,2,2,4,1.584628176474494
15m,500,0.5,0.5,0.1,0.005,6,30,low,poc,0.0084628176474493,0,2,2,4,1.584628176474493
15m,500,0.5,0.5,0.1,0.005,5,30,low,poc,0.0084628176474493,0,2,2,4,1.584628176474493
15m,500,2.0,0.5,0.1,0.005,6,40,low,wa,0.0227096727223917,1,1,2,4,1.5604300605572503
15m,500,2.0,0.25,0.1,0.005,5,30,high,wa,0.0220586100173262,1,1,2,4,1.5539194335065953
15m,500,2.0,0.25,0.1,0.005,6,30,high,wa,0.0220586100173262,1,1,2,4,1.5539194335065953
15m,500,2.0,0.25,0.1,0.005,5,40,high,wa,0.022058610017326,1,1,2,4,1.5539194335065933
15m,500,2.0,0.25,0.1,0.005,6,40,high,wa,0.022058610017326,1,1,2,4,1.5539194335065933
15m,500,2.0,0.25,0.1,0.005,3,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,0.25,0.1,0.005,2,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,0.5,0.1,0.005,2,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,0.5,0.1,0.005,3,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,1.0,0.1,0.005,3,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,1.0,0.1,0.005,2,30,high,wa,0.03000685188869,0,1,0,1,1.5500685188869001
15m,500,2.0,0.5,0.1,0.005,2,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,1.0,0.1,0.005,3,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,0.5,0.1,0.005,3,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,0.25,0.1,0.005,2,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,1.0,0.1,0.005,2,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,0.25,0.1,0.005,3,40,high,wa,0.0300068518886899,0,1,0,1,1.550068518886899
15m,500,2.0,1.0,0.1,0.005,2,30,low,poc,0.0251363840372203,0,1,0,1,1.501363840372203
15m,500,2.0,0.5,0.1,0.005,2,30,low,poc,0.0251363840372203,0,1,0,1,1.501363840372203
15m,500,1.0,0.25,0.1,0.01,6,30,low,poc,0.0230311069496462,0,1,0,1,1.480311069496462
15m,500,1.0,0.5,0.1,0.01,6,30,low,poc,0.0230311069496462,0,1,0,1,1.480311069496462
15m,500,1.0,1.0,0.1,0.01,6,30,low,poc,0.0230311069496462,0,1,0,1,1.480311069496462
15m,500,0.5,0.5,0.1,0.005,5,30,high,poc,-0.0021106747612502,0,2,2,4,1.478893252387498
15m,500,0.5,0.5,0.1,0.005,5,40,high,poc,-0.0021106747612504,0,2,2,4,1.478893252387496
15m,500,1.0,1.0,0.1,0.005,5,40,low,poc,-0.0023960535469876,0,2,2,4,1.476039464530124
15m,500,1.0,1.0,0.1,0.005,6,40,low,poc,-0.0023960535469876,0,2,2,4,1.476039464530124
15m,500,1.0,1.0,0.1,0.005,5,30,low,poc,-0.0023960535469877,0,2,2,4,1.476039464530123
15m,500,1.0,1.0,0.1,0.005,6,30,low,poc,-0.0023960535469878,0,2,2,4,1.476039464530122
15m,500,2.0,0.5,0.1,0.005,5,40,high,wa,0.0141103681459621,1,1,2,4,1.4744370147929542
15m,500,2.0,0.5,0.1,0.005,5,30,high,wa,0.0141103681459621,1,1,2,4,1.4744370147929542
15m,500,0.5,1.0,0.1,0.005,4,30,low,poc,0.0050702551063053,0,2,1,3,1.4673692177297197
