period,limit,tp_natr_coef,sl_natr_coef,cumulative_threshold,change_threshold,tolerance,num_bin,price_index,strategy,profit,expired,# win,# lose,amount_trades,performance
15m,500,0.5,1.0,0.1,0.005,6,40,high,poc,0.0186901278499544,1,2,0,3,2.186901278499544
15m,500,0.5,1.0,0.1,0.005,6,30,high,poc,0.0150211674385304,1,2,0,3,2.1502116743853037
15m,500,2.0,0.5,0.1,0.005,6,40,high,poc,0.0259200661308011,1,1,1,3,1.759200661308011
15m,500,2.0,1.0,0.1,0.005,6,40,high,poc,0.0161519770769978,1,1,1,3,1.661519770769978
15m,500,1.0,0.5,0.1,0.005,6,40,high,poc,0.008075988538499,1,1,1,3,1.58075988538499
5m,500,2.0,0.25,0.1,0.01,6,40,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,40,high,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,40,low,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,30,low,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,40,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,40,low,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,30,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,30,low,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,40,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.25,0.1,0.01,6,30,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.25,0.1,0.01,6,30,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,30,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,30,high,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,40,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,40,high,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,30,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,30,high,poc,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,1.0,0.1,0.01,6,40,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.5,0.1,0.01,6,30,low,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
5m,500,2.0,0.25,0.1,0.01,6,40,high,wa,0.0240527849740932,0,1,0,1,1.5738611830742653
15m,500,1.0,0.25,0.1,0.005,6,30,high,poc,0.0056221122425524,1,1,1,3,1.556221122425524
5m,500,1.0,0.5,0.1,0.005,6,30,low,poc,0.0209383145091224,0,1,0,1,1.5427164784245573
5m,500,1.0,1.0,0.1,0.005,6,30,low,poc,0.0209383145091224,0,1,0,1,1.5427164784245573
5m,500,1.0,0.25,0.1,0.005,6,30,low,poc,0.0209383145091224,0,1,0,1,1.5427164784245573
5m,500,1.0,0.25,0.1,0.005,6,40,low,poc,0.0209383145091223,0,1,0,1,1.5427164784245564
5m,500,1.0,0.5,0.1,0.005,6,40,low,poc,0.0209383145091223,0,1,0,1,1.5427164784245564
5m,500,1.0,1.0,0.1,0.005,6,40,low,poc,0.0209383145091223,0,1,0,1,1.5427164784245564
15m,500,1.0,0.5,0.1,0.005,6,30,high,poc,0.0007380677156507,1,1,1,3,1.507380677156507
15m,500,1.0,0.5,0.1,0.005,6,40,high,wa,0.0007380677156505,1,1,1,3,1.507380677156505
15m,500,1.0,0.5,0.1,0.005,6,30,high,wa,0.0007380677156505,1,1,1,3,1.507380677156505
15m,500,0.5,0.25,0.1,0.005,6,30,high,poc,0.0003690338578253,1,1,1,3,1.503690338578253
15m,500,0.5,0.5,0.1,0.005,6,40,high,poc,-0.0008460502576523,1,1,1,3,1.491539497423477
15m,500,1.0,1.0,0.1,0.005,6,40,high,poc,-0.0016921005153043,1,1,1,3,1.4830789948469572
15m,500,0.5,0.5,0.1,0.005,6,40,high,wa,-0.0045150106690761,1,1,1,3,1.4548498933092389
15m,500,0.5,0.5,0.1,0.005,6,30,high,poc,-0.0045150106690762,1,1,1,3,1.454849893309238
15m,500,0.5,0.5,0.1,0.005,6,30,high,wa,-0.0045150106690762,1,1,1,3,1.454849893309238
5m,500,1.0,1.0,0.1,0.01,6,30,low,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,30,low,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,30,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.25,0.1,0.01,6,40,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.25,0.1,0.01,6,30,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,30,high,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,40,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,30,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,30,high,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,40,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,40,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,40,low,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,40,low,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,30,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.25,0.1,0.01,6,40,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,30,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.5,0.1,0.01,6,40,high,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,40,low,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,0.25,0.1,0.01,6,30,high,wa,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,1.0,1.0,0.1,0.01,6,40,high,poc,0.0120263924870465,0,1,0,1,1.4535972582037984
5m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.0104691572545612,0,1,0,1,1.4380249058789454
5m,500,0.5,0.5,0.1,0.005,6,40,low,wa,0.0104691572545612,0,1,0,1,1.4380249058789454
5m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.0104691572545612,0,1,0,1,1.4380249058789454
5m,500,0.5,0.5,0.1,0.005,6,30,low,wa,0.0104691572545612,0,1,0,1,1.4380249058789454
5m,500,0.5,0.25,0.1,0.005,6,30,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
5m,500,0.5,0.25,0.1,0.005,6,40,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
5m,500,0.5,1.0,0.1,0.005,6,40,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
5m,500,0.5,0.5,0.1,0.005,6,30,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
5m,500,0.5,0.5,0.1,0.005,6,40,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
5m,500,0.5,1.0,0.1,0.005,6,30,low,poc,0.0104691572545611,0,1,0,1,1.4380249058789443
15m,500,0.5,1.0,0.1,0.005,6,30,low,wa,0.0097680890538035,0,1,0,1,1.4310142238713683
15m,500,0.5,1.0,0.1,0.005,6,30,low,poc,0.0097680890538034,0,1,0,1,1.4310142238713675
15m,500,0.5,1.0,0.1,0.005,6,40,low,poc,0.0097680890538034,0,1,0,1,1.4310142238713675
15m,500,0.5,1.0,0.1,0.005,6,40,low,wa,0.0097680890538033,0,1,0,1,1.4310142238713663
15m,500,0.5,1.0,0.1,0.005,6,40,avgHL,poc,0.0095409292035398,0,1,0,1,1.4287426253687312
15m,500,0.5,1.0,0.1,0.005,6,30,avgHL,poc,0.0095409292035397,0,1,0,1,1.4287426253687303
15m,500,1.0,1.0,0.1,0.005,6,30,high,poc,-0.0090300213381526,1,1,1,3,1.409699786618474
15m,500,1.0,1.0,0.1,0.005,6,40,high,wa,-0.0090300213381527,1,1,1,3,1.409699786618473
15m,500,1.0,1.0,0.1,0.005,6,30,high,wa,-0.0090300213381527,1,1,1,3,1.409699786618473
5m,500,0.5,1.0,0.1,0.01,6,30,high,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,40,high,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.25,0.1,0.01,6,30,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,40,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,30,high,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,40,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,40,high,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,30,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,30,low,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,40,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,30,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.25,0.1,0.01,6,30,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,40,low,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,30,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.25,0.1,0.01,6,40,high,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,1.0,0.1,0.01,6,30,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,40,low,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,40,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.5,0.1,0.01,6,30,low,poc,0.0060131962435232,0,1,0,1,1.3934652957685654
5m,500,0.5,0.25,0.1,0.01,6,40,low,wa,0.0060131962435232,0,1,0,1,1.3934652957685654
15m,500,0.5,1.0,0.1,0.005,6,40,high,wa,-0.0142830997228794,1,1,1,3,1.357169002771206
15m,500,0.5,1.0,0.1,0.005,6,30,high,wa,-0.0142830997228794,1,1,1,3,1.357169002771206
